date,state,location,fuel_type,price_cpl
2025-12-20,QLD,Weipa,ulp91,184.2
2025-12-20,SA,Adelaide,diesel,158.0
2025-12-20,SA,Adelaide,e10,158.4
2025-12-20,SA,Adelaide,p95,166.4
2025-12-20,SA,Adelaide,p98,181.7
2025-12-20,SA,Adelaide,ulp91,156.6
2025-12-20,SA,Port Lincoln,diesel,165.0
2025-12-20,SA,Port Lincoln,p98,190.8
2025-12-20,SA,Port Lincoln,ulp91,162.9
2025-12-20,TAS,Devonport,diesel,163.6
2025-12-20,TAS,Devonport,p95,172.1
2025-12-20,TAS,Devonport,ulp91,161.1
2025-12-20,TAS,Hobart,diesel,162.9
2025-12-20,TAS,Hobart,p95,172.2
2025-12-20,TAS,Hobart,p98,188.1
